epoch,acc,loss,val_acc,val_loss
0,0.162286297578,2.12117085456,0.142857147419,2.15304067184
1,0.194947690764,2.01811569058,0.142857147419,2.33557353762
2,0.237305435073,1.93837594061,0.147959188387,2.65813932644
3,0.317427915296,1.76739269731,0.209183679704,2.10574318499
4,0.398060729786,1.58959140106,0.214285721014,2.46226002185
5,0.456238836445,1.42962178161,0.256122456027,2.93586651243
6,0.513141107448,1.28296915905,0.195918373307,4.66448070782
7,0.559326358856,1.16370186148,0.379591848853,2.39802563099
8,0.582036233824,1.11594471882,0.407142869938,1.99453495777
9,0.618014799755,1.01103696024,0.539795929984,1.29408399191
10,0.657310538448,0.935696493928,0.632653076278,1.16233545101
11,0.672875733651,0.892652744449,0.633673483924,1.15869050701
12,0.674917070742,0.871812676891,0.631632669772,1.15369707053
13,0.708088798254,0.798178104014,0.596938787028,1.62136533381
14,0.723909160531,0.777149738387,0.630612259959,1.1169616393
15,0.727481500428,0.739326427849,0.391836746311,2.453334721
16,0.74840520544,0.690709644007,0.682653076034,1.0571632286
17,0.758867057999,0.666458943527,0.588775522855,1.47350121514
18,0.762184230732,0.645347001647,0.689795932295,0.941172797233
19,0.782597601459,0.618269114538,0.632653074453,1.20360998695
20,0.789487114166,0.594241770532,0.633673484836,1.25762471116
21,0.796631793886,0.575459633396,0.517346948765,1.69341347519
22,0.799438632304,0.571309251284,0.608163278968,1.52765717114
23,0.798417963781,0.567620886911,0.6387755236,1.37168126844
24,0.812196989134,0.538112375483,0.731632663659,0.892212422261
25,0.803521306486,0.542108072017,0.531632665811,1.7210261602
26,0.819341668839,0.5051177275,0.662244910792,1.0284876901
27,0.826996682858,0.498036516028,0.777551031843,0.612967178226
28,0.820617504481,0.501945628549,0.759183685999,0.801385811416
29,0.843072212375,0.451234472942,0.753061237004,0.823193372854
30,0.840775708119,0.456885387077,0.323469396719,5.03481369135
31,0.830824189905,0.474461779573,0.478571441291,2.30427444764
32,0.84536871657,0.453703972675,0.625510219561,1.35622339749
33,0.841541209523,0.436594914047,0.702040828004,1.04180781809
34,0.844092880852,0.450244400104,0.738775523037,0.873658702842
35,0.849451390661,0.429407346907,0.705102055048,0.982309909937
36,0.857616739055,0.413838982521,0.83571429505,0.521537969896
37,0.860933911743,0.409973575026,0.642857159127,1.28599932258
38,0.863740750252,0.395675063164,0.692857156375,1.01688811664
39,0.866802755851,0.385695999611,0.787755111955,0.635910916551
40,0.858127073263,0.401057613819,0.73469389154,1.0623833034
41,0.876499106945,0.377265463628,0.74183674666,0.745667973875
42,0.875988772692,0.364982649315,0.670408178349,1.37839024733
43,0.862720081669,0.373615577737,0.628571444438,1.56174992542
44,0.86476141876,0.397940756792,0.731632667347,0.976441434946
45,0.875733605588,0.358271806299,0.853061232792,0.457207583385
46,0.875478438423,0.355122851014,0.732653071686,1.07757855756
47,0.87700944123,0.346695316388,0.665306136924,1.2008056273
48,0.882623118173,0.338229638843,0.584693891585,2.07861418083
49,0.879561112559,0.354857685068,0.788775521882,0.669306967702
